iter	RMSE
0	166.6312796
1	159.7411884
2	153.0700602
3	146.7505946
4	140.6821026
5	134.9539214
6	129.3809007
7	124.1204144
8	119.0561996
9	114.2035228
10	109.5244708
11	105.0594977
12	100.8233924
13	96.75299461
14	92.87963547
15	89.13208058
16	85.55211994
17	82.12852286
18	78.82924597
19	75.67132428
20	72.71860071
21	69.84948866
22	67.05290288
23	64.42153836
24	61.90290096
25	59.49500914
26	57.18503808
27	54.97597317
28	52.86619591
29	50.87586584
30	48.91569287
31	47.12681632
32	45.37191597
33	43.68706518
34	42.04553483
35	40.50918369
36	39.04699816
37	37.62586447
38	36.28457124
39	34.98920832
40	33.76020654
41	32.59719788
42	31.47433374
43	30.41735839
44	29.41218042
45	28.43281963
46	27.51700002
47	26.64323729
48	25.8271542
49	25.04235051
50	24.29814258
51	23.56165632
52	22.88181843
53	22.21856671
54	21.58829199
55	21.01716816
56	20.46124787
57	19.9428051
58	19.43428088
59	18.94830265
60	18.48393019
61	18.03907097
62	17.59938636
63	17.2116791
64	16.83678305
65	16.47493981
66	16.12960707
67	15.78969575
68	15.46891672
69	15.17321254
70	14.89462662
71	14.60090998
72	14.31591042
73	14.04409551
74	13.78687485
75	13.54257604
76	13.29606932
77	13.09027848
78	12.89889282
79	12.69704473
80	12.50608532
81	12.3307948
82	12.14826093
83	11.99140463
84	11.82362396
85	11.66701304
86	11.50451307
87	11.36703839
88	11.23702092
89	11.10804367
90	10.99119285
91	10.87085989
92	10.76752592
93	10.66432532
94	10.55724154
95	10.46026994
96	10.37321153
97	10.28005362
98	10.1874438
99	10.1083662
100	10.03037056
101	9.945539504
102	9.86631884
103	9.789371941
104	9.720790701
105	9.660223405
106	9.586719755
107	9.52242269
108	9.46126926
109	9.403206415
110	9.356018052
111	9.302526628
112	9.258443699
113	9.210276284
114	9.154485183
115	9.109238393
116	9.069838471
117	9.03037245
118	8.992397348
119	8.956051951
120	8.914099614
121	8.87782531
122	8.843208624
123	8.796913552
124	8.757633331
125	8.720975219
126	8.680570427
127	8.646504731
128	8.615651754
129	8.586047337
130	8.532142611
131	8.500156859
132	8.47919826
133	8.428097615
134	8.405863228
135	8.374730825
136	8.345662895
137	8.319258019
138	8.285814341
139	8.254505273
140	8.195569281
141	8.177937568
142	8.153620474
143	8.13392075
144	8.116560796
145	8.095800519
146	8.074726096
147	8.047836734
148	8.014597537
149	7.987881614
150	7.953734226
151	7.924985779
152	7.897098185
153	7.879299957
154	7.830957518
155	7.808125657
156	7.761325519
157	7.739824957
158	7.721068738
159	7.660229606
160	7.650152178
161	7.640322285
162	7.613384325
163	7.592277687
164	7.580439064
165	7.556521877
166	7.528983885
167	7.505277533
168	7.481664997
169	7.469802242
170	7.445239736
171	7.425879623
172	7.403939172
173	7.384893578
174	7.340911784
175	7.328107236
176	7.283843597
177	7.248493774
178	7.21997753
179	7.210278879
180	7.186238935
181	7.166830488
182	7.144673766
183	7.133719743
184	7.110683562
185	7.081770934
186	7.068485018
187	7.024609281
188	7.000844585
189	6.984363915
190	6.951532165
191	6.938246621
192	6.914253998
193	6.894476328
194	6.879272631
195	6.844404197
196	6.828557382
197	6.815575032
198	6.802215991
199	6.792384942
200	6.75128346
201	6.738967137
202	6.717104008
203	6.679381693
204	6.6480514
205	6.63236825
206	6.594863327
207	6.576040469
208	6.542516303
209	6.52479817
210	6.498828826
211	6.479401405
212	6.467987745
213	6.457484672
214	6.436948123
215	6.421233367
216	6.401084507
217	6.38396881
218	6.372157098
219	6.340404374
220	6.32616871
221	6.31214385
222	6.294414435
223	6.28115279
224	6.262481248
225	6.248436859
226	6.235646587
227	6.227331733
228	6.21668037
229	6.203080137
230	6.183254477
231	6.173001758
232	6.144120555
233	6.128903859
234	6.120952479
235	6.103971426
236	6.091595878
237	6.075773439
238	6.060182041
239	6.026443165
240	6.01193012
241	5.997323855
242	5.97518789
243	5.942208066
244	5.927874753
245	5.900316949
246	5.888341316
247	5.877724306
248	5.869599029
249	5.857616079
250	5.846320794
251	5.815577184
252	5.800686819
253	5.787796683
254	5.759247778
255	5.748152387
256	5.740302735
257	5.729891887
258	5.705236935
259	5.694378176
260	5.682131637
261	5.671869795
262	5.656367202
263	5.643888087
264	5.622696337
265	5.612412982
266	5.593668659
267	5.581388312
268	5.569844492
269	5.557759325
270	5.546907535
271	5.538910761
272	5.52625488
273	5.51330346
274	5.502038023
275	5.491673717
276	5.481984532
277	5.470831904
278	5.462506469
279	5.450525562
280	5.439535141
281	5.429540749
282	5.421090944
283	5.40415067
284	5.387180485
285	5.37825707
286	5.365740143
287	5.357995627
288	5.350159707
289	5.34478294
290	5.332617159
291	5.323233123
292	5.311133583
293	5.302673354
294	5.297911183
295	5.277993831
296	5.27031358
297	5.260041419
298	5.246630382
299	5.238544506
300	5.228132901
301	5.219296433
302	5.209005238
303	5.201985269
304	5.18864608
305	5.181455331
306	5.17363275
307	5.163873501
308	5.155533945
309	5.147524716
310	5.142041199
311	5.131079041
312	5.115799345
313	5.104014158
314	5.094949006
315	5.087567162
316	5.077907899
317	5.06793788
318	5.062570399
319	5.055907867
320	5.046600293
321	5.038878818
322	5.030395511
323	5.021315457
324	5.012327012
325	5.005211597
326	4.994259338
327	4.98791182
328	4.981043853
329	4.972363054
330	4.964225007
331	4.953626441
332	4.948517648
333	4.942195467
334	4.933656766
335	4.927082999
336	4.911622921
337	4.904204887
338	4.89156205
339	4.886029215
340	4.877919718
341	4.872872826
342	4.865212066
343	4.859020833
344	4.852311218
345	4.845606874
346	4.839926292
347	4.832341913
348	4.825185221
349	4.82086693
350	4.815428153
351	4.809464895
352	4.795749011
353	4.790672782
354	4.785551043
355	4.778790774
356	4.772090576
357	4.763114309
358	4.759329321
359	4.752355875
360	4.746003529
361	4.732929292
362	4.727791098
363	4.719870633
364	4.714565922
365	4.708548024
366	4.694838153
367	4.687214603
368	4.681830333
369	4.671907044
370	4.6646719
371	4.658481636
372	4.651737797
373	4.648534976
374	4.641726337
375	4.636982797
376	4.633075099
377	4.625318043
378	4.616749599
379	4.613298385
380	4.608641881
381	4.601442126
382	4.595683757
383	4.59093472
384	4.578776215
385	4.57213144
386	4.565372365
387	4.559112879
388	4.554159817
389	4.546906136
390	4.539097963
391	4.533463753
392	4.528861747
393	4.524878537
394	4.520009481
395	4.513832563
396	4.509560961
397	4.505898438
398	4.498531371
399	4.494628946
400	4.487784258
401	4.481293921
402	4.474586992
403	4.459970554
404	4.45375336
405	4.449188103
406	4.445875754
407	4.441851642
408	4.43221793
409	4.428831123
410	4.423811824
411	4.415185282
412	4.411318258
413	4.399200261
414	4.392940251
415	4.38637391
416	4.383293916
417	4.374680815
418	4.366251083
419	4.361005745
420	4.3504302
421	4.345279768
422	4.339982621
423	4.33475576
424	4.331785481
425	4.325342638
426	4.322059544
427	4.316291938
428	4.312854731
429	4.307204942
430	4.301990881
431	4.291762478
432	4.286212904
433	4.2817056
434	4.278765903
435	4.275281326
436	4.269128716
437	4.265599201
438	4.257909473
439	4.252784231
440	4.249041315
441	4.241843217
442	4.239385135
443	4.234369683
444	4.231102505
445	4.228742252
446	4.222456656
447	4.21931088
448	4.215243749
449	4.210743309
450	4.204725613
451	4.198204907
452	4.193561092
453	4.189297614
454	4.183451338
455	4.178226337
456	4.174351808
457	4.167652857
458	4.164404761
459	4.159257023
460	4.146460865
461	4.142072435
462	4.138028094
463	4.134269989
464	4.129638446
465	4.1248092
466	4.119763308
467	4.117127557
468	4.114298812
469	4.103505764
470	4.098824474
471	4.092635524
472	4.084976357
473	4.080615816
474	4.076412924
475	4.071635139
476	4.068473056
477	4.062783698
478	4.058290759
479	4.053584665
480	4.045442235
481	4.040268963
482	4.035300552
483	4.031402202
484	4.027508639
485	4.022067933
486	4.017917615
487	4.007382829
488	3.998955485
489	3.996200153
490	3.993346929
491	3.989030777
492	3.986233455
493	3.980955418
494	3.977239995
495	3.975148698
496	3.970349789
497	3.966907553
498	3.960260653
499	3.954856075
500	3.952662013
501	3.950153807
502	3.945910461
503	3.939501335
504	3.936429202
505	3.929805249
506	3.927675813
507	3.922954361
508	3.918383562
509	3.913657426
510	3.910331387
511	3.906366022
512	3.903580723
513	3.901534402
514	3.898031206
515	3.893891797
516	3.883375862
517	3.881151635
518	3.879220166
519	3.873300544
520	3.870810775
521	3.867749918
522	3.864482883
523	3.860864366
524	3.857416329
525	3.854312803
526	3.849308404
527	3.846197667
528	3.84320484
529	3.84127098
530	3.838887536
531	3.835723436
532	3.832038488
533	3.828849316
534	3.826555072
535	3.822657581
536	3.817791455
537	3.814989312
538	3.811583126
539	3.808793977
540	3.8027767
541	3.798855195
542	3.795300841
543	3.791886307
544	3.788838395
545	3.785424914
