iter	Passed	Remaining
0	67	135921
1	79	78931
2	90	60090
3	100	50011
4	110	44033
5	116	38696
6	122	34841
7	128	31971
8	134	29644
9	140	28048
10	146	26539
11	152	25271
12	158	24201
13	163	23252
14	169	22460
15	175	21720
16	181	21121
17	186	20588
18	192	20086
19	198	19665
20	205	19353
21	211	18999
22	216	18638
23	222	18347
24	231	18326
25	238	18129
26	245	17903
27	251	17723
28	257	17494
29	263	17335
30	269	17130
31	275	16942
32	281	16763
33	286	16590
34	292	16432
35	298	16283
36	304	16143
37	310	16016
38	315	15874
39	322	15806
40	328	15686
41	335	15624
42	340	15511
43	346	15420
44	354	15415
45	361	15353
46	367	15258
47	373	15174
48	378	15088
49	385	15040
50	391	14971
51	397	14905
52	403	14833
53	409	14769
54	415	14701
55	421	14635
56	428	14604
57	434	14542
58	442	14569
59	448	14501
60	454	14442
61	461	14416
62	467	14382
63	475	14369
64	480	14316
65	487	14271
66	494	14266
67	501	14242
68	508	14235
69	514	14193
70	520	14138
71	527	14135
72	533	14095
73	541	14103
74	548	14072
75	554	14028
76	561	14030
77	569	14039
78	576	14023
79	582	13980
80	589	13957
81	595	13918
82	601	13887
83	608	13881
84	615	13859
85	623	13871
86	630	13872
87	636	13829
88	643	13822
89	649	13793
90	657	13801
91	664	13773
92	670	13742
93	675	13706
94	682	13683
95	690	13702
96	696	13671
97	702	13637
98	708	13609
99	714	13568
100	722	13581
101	730	13586
102	737	13577
103	743	13552
104	749	13523
105	755	13491
106	760	13455
107	766	13434
108	772	13405
109	778	13379
110	783	13338
111	789	13313
112	795	13276
113	800	13246
114	806	13225
115	813	13212
116	818	13177
117	824	13143
118	829	13118
119	835	13097
120	841	13072
121	847	13044
122	853	13017
123	858	12994
124	865	12976
125	870	12945
126	878	12952
127	885	12954
128	893	12959
129	899	12944
130	910	12984
131	922	13054
132	929	13051
133	938	13074
134	946	13073
135	955	13091
136	962	13083
137	968	13073
138	975	13058
139	997	13249
140	1022	13476
141	1029	13474
142	1036	13461
143	1043	13447
144	1050	13434
145	1057	13425
146	1063	13409
147	1069	13380
148	1075	13363
149	1082	13345
150	1088	13327
151	1094	13312
152	1101	13291
153	1106	13266
154	1113	13255
155	1120	13246
156	1128	13245
157	1135	13239
158	1142	13225
159	1148	13209
160	1153	13178
161	1159	13156
162	1165	13135
163	1172	13122
164	1179	13112
165	1185	13102
